                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.94364,                 3.4764,                0.38579,                0.85182,                 1.1146,                0.43609,                    0.5,                0.41626,                0.19262,                0.30049,                0.28571,                0.16466,                0.04443,                 1.9219,                 7.4232,                0.63737,                  2.238,                 1.9271,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.2358,                 3.1683,                0.37514,                0.83126,                 1.1457,                0.43609,                    0.5,                0.41626,                0.19262,                0.30049,                0.28571,                0.16466,                0.04443,                 1.9219,                 7.4232,                0.63737,                  2.238,                 1.9271,              0.0004939,              0.0004939,              0.0004939
                     45,                 0.8572,                 2.7584,                0.30056,                 0.7101,                0.97505,                0.52909,                0.56234,                0.47415,                0.23003,                0.44389,                0.35714,                0.26839,                0.06233,                 1.9396,                 7.5379,                0.61872,                 2.2934,                 1.9517,             0.00049667,             0.00049667,             0.00049667
                     46,                0.91987,                 2.6248,                0.36489,                0.61763,                 1.0614,                0.52909,                0.56234,                0.47415,                0.23003,                0.44389,                0.35714,                0.26839,                0.06233,                 1.9396,                 7.5379,                0.61872,                 2.2934,                 1.9517,             0.00049905,             0.00049905,             0.00049905
                     47,                0.93576,                 3.2882,                0.30194,                 0.7773,                 1.0165,                0.48376,                    0.5,                 0.4969,                0.23732,                0.49504,                0.35714,                0.27379,                0.07843,                  1.929,                 7.6161,                0.61882,                  2.394,                 1.9726,             0.00050103,             0.00050103,             0.00050103
                     48,                 1.4375,                 5.2028,                0.35689,                 1.2574,                 1.3004,                0.48376,                    0.5,                 0.4969,                0.23732,                0.49504,                0.35714,                0.27379,                0.07843,                  1.929,                 7.6161,                0.61882,                  2.394,                 1.9726,             0.00050262,             0.00050262,             0.00050262
                     49,                  1.112,                 1.9633,                0.32651,                0.92325,                 1.3324,                0.47411,                    0.5,                0.44925,                0.20003,                0.54693,                0.35714,                0.28344,                0.07255,                 2.0413,                 7.5442,                0.62259,                 2.5001,                 2.0859,             0.00050381,             0.00050381,             0.00050381
                     50,                0.89676,                 2.6425,                0.35671,                0.68668,                 1.1329,                0.47411,                    0.5,                0.44925,                0.20003,                0.54693,                0.35714,                0.28344,                0.07255,                 2.0413,                 7.5442,                0.62259,                 2.5001,                 2.0859,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.0065,                 2.8538,                 0.3506,                0.77293,                 1.0718,                0.39472,                0.57143,                0.45309,                0.22249,                0.68331,                0.21429,                0.24996,                0.04134,                 1.9533,                 7.5198,                0.63331,                  2.529,                 2.0143,               0.000505,               0.000505,               0.000505
                     52,                 1.6369,                 4.1488,                0.43921,                  1.145,                 1.3155,                0.39472,                0.57143,                0.45309,                0.22249,                0.68331,                0.21429,                0.24996,                0.04134,                 1.9533,                 7.5198,                0.63331,                  2.529,                 2.0143,               0.000505,               0.000505,               0.000505
